,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000054892,0,0,0,0,0,0
ENSRNOG00000054893,0,0,0,0,0,0
ENSRNOG00000054894,0,0,0,0,0,0
ENSRNOG00000054895,0,0,0,0,0,0
ENSRNOG00000054896,684.76,668.79,552.82,2041.84,2127.98,1670.04
ENSRNOG00000054897,0,0,0,0,0,0
ENSRNOG00000054898,0,0,0,0,0,0
ENSRNOG00000054899,0,0,0,0,0,0
ENSRNOG00000054900,0,0,0,0,0,0
ENSRNOG00000054901,124,132,165,370,294,289
ENSRNOG00000054902,3,11,9,36.86,33.77,34.8
ENSRNOG00000054903,0,0,0,0,0,0
ENSRNOG00000054904,0,1,1,2,2,3
ENSRNOG00000054905,16.19,13.43,8.17,25.78,29.61,17.23
ENSRNOG00000054906,0,0,0,0,0,0
ENSRNOG00000054907,8,2,0,8,5,2
ENSRNOG00000054908,0,0,0,0,0,0
ENSRNOG00000054909,0,0,0,0,0,0
ENSRNOG00000054910,2,1,5,5,9,7
ENSRNOG00000054911,0,0,0,0,0,0
ENSRNOG00000054912,0,0,0,0,0,0
ENSRNOG00000054913,0,0,0,0,0,0
ENSRNOG00000054914,0,0,0,0,0,0
ENSRNOG00000054915,0,0,0,0,0,0
ENSRNOG00000054916,0,0,0,0,0,0
ENSRNOG00000054917,0,0,0,0,1,0
ENSRNOG00000054918,0,0,0,0,0,0
ENSRNOG00000054919,0,0,0,0,0,0
ENSRNOG00000054920,2,3,2,17,21,13
ENSRNOG00000054921,0,0,0,0,0,0
ENSRNOG00000054922,0,0,0,0,0,0
ENSRNOG00000054923,0,0,0,0,0,0
ENSRNOG00000054924,0,0,0,0,0,0
ENSRNOG00000054925,0,0,0,0,0,0
ENSRNOG00000054926,0,0,0,0,0,0
ENSRNOG00000054927,0,0,0,0,0,0
ENSRNOG00000054928,0,0,0,0,0,0
ENSRNOG00000054929,0,0,0,0,0,0
ENSRNOG00000054930,78.84,37.49,61.5,840.18,1189.33,874.11
ENSRNOG00000054931,0,0,0,0,0,0
ENSRNOG00000054932,0,0,0,0,0,0
ENSRNOG00000054933,0,0,0,0,0,0
ENSRNOG00000054934,0,2,0,0,0,0
ENSRNOG00000054935,0,0,0,0,0,0
ENSRNOG00000054936,3,0,1,2,6,9
ENSRNOG00000054937,0,0,0,0,0,0
ENSRNOG00000054938,0,0,0,0,0,0
ENSRNOG00000054939,0,0,0,0,0,0
ENSRNOG00000054940,0,0,0,0,0,0
ENSRNOG00000054941,0,0,0,0,0,0
ENSRNOG00000054942,0,0,0,0,0,0
ENSRNOG00000054943,0,0,0,0,1,0
ENSRNOG00000054944,0,0,0,0,0,0
ENSRNOG00000054945,574.98,298.33,240.67,1405.02,1056.42,452.3
ENSRNOG00000054946,238,302,146,611,685,325
ENSRNOG00000054947,0,0,0,1,0,0
ENSRNOG00000054948,0,0,0,0,0,0
ENSRNOG00000054949,0,0,0,0,0,0
ENSRNOG00000054950,1,0,0,1,2,0
ENSRNOG00000054951,0,0,0,0,0,0
ENSRNOG00000054952,0,0,0,0,0,0
ENSRNOG00000054953,0,0,0,3.5,2,0
ENSRNOG00000054954,3,2,1,28,10,8.09
ENSRNOG00000054955,8,2,17,0,0,0
ENSRNOG00000054956,0,0,0,0,0,0
ENSRNOG00000054957,0,1,1,0,0,0
ENSRNOG00000054958,0,0,0,0,0,0
ENSRNOG00000054959,7,5,4,0,2.61,9
ENSRNOG00000054960,0,0,0,0,0,0
ENSRNOG00000054961,0,0,0,0,0,0
ENSRNOG00000054962,121,110,95,1355,1799,1028
ENSRNOG00000054963,201,194,171,506,483,426
ENSRNOG00000054964,4,1,6,19,13,3
ENSRNOG00000054965,0,0,0,0.67,0,0
ENSRNOG00000054966,0,0,0,0,0,0
ENSRNOG00000054967,0,0,0,0,0,0
ENSRNOG00000054968,0,0,0,0,0,0
ENSRNOG00000054969,0,0,0,0,0,0
ENSRNOG00000054970,0,0,0,0,0,0
ENSRNOG00000054971,0,0,0,0,0,0
ENSRNOG00000054972,0,2,0,0,0.33,2
ENSRNOG00000054973,0,0,0,0,0,0
ENSRNOG00000054974,0,0,0,0,0,0
ENSRNOG00000054975,0,0,0,0,0,0
ENSRNOG00000054976,0,0,0,0,0,0
ENSRNOG00000054977,0,0,0,0,0,0
ENSRNOG00000054978,218,255,240,690,495,301
ENSRNOG00000054979,0,0,0,1,0,0
ENSRNOG00000054980,0,0,0,0,0,0
ENSRNOG00000054981,0,0,0,0,0,0
ENSRNOG00000054982,0,0,0,0,0,0
ENSRNOG00000054983,0,0,0,0,0,0
ENSRNOG00000054984,0,0,0,0,0,0
ENSRNOG00000054985,0,0,0,0,0,0
ENSRNOG00000054986,0,0,0,0,0,0
ENSRNOG00000054987,0,0,0,0,0,0
ENSRNOG00000054988,0,0,0,0,0,0
ENSRNOG00000054989,10,8,8,8,10,5
ENSRNOG00000054990,3,0,2,6,7,3
ENSRNOG00000054991,0,0,0,0,0,1
ENSRNOG00000054992,0,0,0,0,0,0
ENSRNOG00000054993,0,0,0,1,1,0
ENSRNOG00000054994,0,0,0,0,0,0
ENSRNOG00000054995,0,0,0,0,0,0
ENSRNOG00000054996,0,0,0,0,0,0
ENSRNOG00000054997,0,0,0,0,0,0
ENSRNOG00000054998,0,0,0,0,0,0
ENSRNOG00000054999,35,41,13,15,10,7
ENSRNOG00000055000,276.51,240.83,273,922.95,807.43,609.86
ENSRNOG00000055001,0,0,0,0,0,0
ENSRNOG00000055002,0,0,0,0,0,0
ENSRNOG00000055003,0,0,0,0,0,0
ENSRNOG00000055004,0,0,0,0,0,0
ENSRNOG00000055005,0,0,0,0,0,0
ENSRNOG00000055006,0,0,0,0,0,0
ENSRNOG00000055007,0,0,0,0,0,0
ENSRNOG00000055008,0,0,0,0,0,0
ENSRNOG00000055009,0,0,0,0,0,0
ENSRNOG00000055010,54,60,52,476,377,346
ENSRNOG00000055011,0,0,0,0,0,0
ENSRNOG00000055012,947.71,1008.59,907.86,3427.03,3027.98,2357.67
ENSRNOG00000055013,0,0,0,0,0,0
ENSRNOG00000055014,0,0,0,0,0,0
ENSRNOG00000055015,0,1,1,0,1,0
ENSRNOG00000055016,0,0,0,0,0,0
ENSRNOG00000055017,0,0,0,0,0,0
ENSRNOG00000055018,0,0,0,0,0,0
ENSRNOG00000055019,0,0,0,0,0,0
ENSRNOG00000055020,79.38,75.86,86.89,241.42,204.64,176.42
ENSRNOG00000055021,0,0,0,0,0,0
ENSRNOG00000055022,0,0,0,0,0,0
ENSRNOG00000055023,1,1,0,3.5,4.75,1
ENSRNOG00000055024,0,0,0,0,0,0
ENSRNOG00000055025,0,0,0,0,0,0
ENSRNOG00000055026,0,0,0,0,0,0
ENSRNOG00000055027,0,0,0,0,0,0
ENSRNOG00000055028,452,503,384,1625,1484,1194
ENSRNOG00000055029,0,0,0,0,0,0
ENSRNOG00000055030,0,0,0,0,0,0
ENSRNOG00000055031,0,0,0,0,0,0
ENSRNOG00000055032,0,0,0,0,0,0
ENSRNOG00000055033,0,0,0,0,0,0
ENSRNOG00000055034,0,0,0,0,0,0
ENSRNOG00000055035,0,0,0,0,0,0
ENSRNOG00000055036,74,75,71,253,181,149
ENSRNOG00000055037,0,0,0,0,0,0
ENSRNOG00000055038,0,1.01,0,0,0,0
ENSRNOG00000055039,0,0,0,0,0,0
ENSRNOG00000055040,0,0,0,0,0,0
ENSRNOG00000055041,0,0,0,0,0,0
ENSRNOG00000055042,0,0,2,4,0,2
ENSRNOG00000055043,0,0,0,0,0,2
ENSRNOG00000055044,0,0,0,0,0,0
ENSRNOG00000055045,0,0,0,0,0,0
ENSRNOG00000055046,0,0,0,0,0,0
ENSRNOG00000055047,0,0,0,0,0,0
ENSRNOG00000055048,0,0,0,0,0,0
ENSRNOG00000055049,6,5,11,9,36,23
ENSRNOG00000055050,0,0,0,0,0,0
ENSRNOG00000055051,0,0,0,0,0,0
ENSRNOG00000055052,0,0,0,0,0,0
ENSRNOG00000055053,3,1,0,8.21,3.05,1.02
ENSRNOG00000055054,0,0,0,0,0,0
ENSRNOG00000055055,0,0,0,0,0,0
ENSRNOG00000055056,0,0,0,0,1,1
ENSRNOG00000055057,0,0,0,0,0,0
ENSRNOG00000055058,0,0,0,0,0,0
ENSRNOG00000055059,0,0,0,0,0,0
ENSRNOG00000055060,0,0,0,0,0,0
ENSRNOG00000055061,0,0,0,0,1,1
ENSRNOG00000055062,0,0,0,0,0,0
ENSRNOG00000055063,0,1,0,1,0,0
ENSRNOG00000055064,0,0,0,0,0,0
ENSRNOG00000055065,0,0,0,0,0,0
ENSRNOG00000055066,0,0,0,0,0,0
ENSRNOG00000055067,1,3,5,15,19,0
ENSRNOG00000055068,340.75,325.93,274.76,701.44,663.49,431.99
ENSRNOG00000055069,0,0,0,0,0,0
ENSRNOG00000055070,0,0,0,0,0,0
ENSRNOG00000055071,1,0,0,1,1,0
ENSRNOG00000055072,0,0,0,0,0,0
ENSRNOG00000055073,0,0,0,0,0,0
ENSRNOG00000055074,0,0,0,0,0,0
ENSRNOG00000055075,0,0,0,0,0,0
ENSRNOG00000055076,13,6,10.9,54.13,31.26,19.47
ENSRNOG00000055077,0,0,0,0,0,0
ENSRNOG00000055078,62,78,73,319,355,264
ENSRNOG00000055079,95,131,86,192,193,184
ENSRNOG00000055080,0,0,0,0,0,0
ENSRNOG00000055081,0,0,0,0,0,0
ENSRNOG00000055082,133,143,96,562,631,393
ENSRNOG00000055083,0,0,0,0,0,0
ENSRNOG00000055084,0,0,0,0,0,0
ENSRNOG00000055085,0,0,0,0,0,0
ENSRNOG00000055086,0,0,0,0,0,0
ENSRNOG00000055087,0,0,0,0,0,0
ENSRNOG00000055088,0,0,0,0,0,0
ENSRNOG00000055089,328,365,327,1521,891,723
ENSRNOG00000055090,0,0,0,0,0,0
ENSRNOG00000055091,0,0,0,0,0,0
ENSRNOG00000055092,0,0,0,0,0,0
ENSRNOG00000055093,100,107,109,345,333,249
ENSRNOG00000055094,0,0,0,0,0,0
ENSRNOG00000055095,0,0,0,0,0,0
ENSRNOG00000055096,105.86,129.86,118.94,374.14,256.54,282.41
ENSRNOG00000055097,3,3,6,5,11,5
ENSRNOG00000055098,0,0,0,0,0,0
ENSRNOG00000055099,0,0,0,0,0,0
ENSRNOG00000055100,0,0,0,0,0,0
ENSRNOG00000055101,0,0,0,0,0,0
ENSRNOG00000055102,0,0,0,0,0,0
ENSRNOG00000055103,14,10,19,40,35,15
ENSRNOG00000055104,0,0,0,0,0,0
ENSRNOG00000055105,0,1,2,2,3,0
ENSRNOG00000055106,0,0,0,0,0,0
ENSRNOG00000055107,0,0,0,0,0,0
ENSRNOG00000055108,0,0,0,0,0,0
ENSRNOG00000055109,0,0,0,0,0,0
ENSRNOG00000055110,0,0,0,0,0,0
ENSRNOG00000055111,63,29,17,200,130,142
ENSRNOG00000055112,0,0,0,0,0,0
ENSRNOG00000055113,0,0,0,0,0,1
ENSRNOG00000055114,0,0,0,0,0,0
ENSRNOG00000055115,0,0,1,0,0,0
ENSRNOG00000055116,0,0,0,0,0,0
ENSRNOG00000055117,0,0,0,0,0,0
ENSRNOG00000055118,0,0,0,0,0,0
ENSRNOG00000055119,3,2,5,8,3,3
ENSRNOG00000055120,0,0,0,0,0,0
ENSRNOG00000055121,0,0,0,0,0,0
ENSRNOG00000055122,0,0,0,0,0,0
ENSRNOG00000055123,0,0,0,0,0,0
ENSRNOG00000055124,0,0,0,0,0,0
ENSRNOG00000055125,0,0,0,0,0,0
ENSRNOG00000055126,0,0,0,0,0,0
ENSRNOG00000055127,0,0,0,0,0,0
ENSRNOG00000055128,0,0,0,0,0,0
ENSRNOG00000055129,0,0,0,0,0,0
ENSRNOG00000055130,0,0,0,0,0,0
ENSRNOG00000055131,0,0,0,0,0,0
ENSRNOG00000055132,0,0,0,0,0,0
ENSRNOG00000055133,0,0,0,0,0,0
ENSRNOG00000055134,0,0,0,0,0,0
ENSRNOG00000055135,0,0,0,0,0,0
ENSRNOG00000055136,0,0,0,0,0,0
ENSRNOG00000055137,0,0,0,0,0,0
ENSRNOG00000055138,0,0,0,0,0,0
ENSRNOG00000055139,0,0,0,0,0,0
ENSRNOG00000055140,0,0,0,3.29,0,0
ENSRNOG00000055141,0,0,1,0,0,0
ENSRNOG00000055142,14,12,17,88,81,56
ENSRNOG00000055143,0,0,0,0,0,0
ENSRNOG00000055144,0,0,0,0,0,0
ENSRNOG00000055145,0,0,0,0,0,0
ENSRNOG00000055146,0,0,0,0,0,0
ENSRNOG00000055147,0,0,0,0,0,0
ENSRNOG00000055148,2.01,2.02,1.01,2.01,1.01,0
ENSRNOG00000055149,0,0,0,0,0,0
ENSRNOG00000055150,0,0,0,0,0,0
ENSRNOG00000055151,0,0,0,0,0,0
ENSRNOG00000055152,0,0,0,0,0,0
ENSRNOG00000055153,0,0,0,0,0,0
ENSRNOG00000055154,0,0.17,0.17,0.17,0.17,0
ENSRNOG00000055155,0,0,0,0,0,0
ENSRNOG00000055156,2,2,1,49,15,3
ENSRNOG00000055157,25,18,24,65,92,45
ENSRNOG00000055158,0,0,0,0,0,0
ENSRNOG00000055159,0,0,0,0,0,0
ENSRNOG00000055160,0,0,0,0,0,0
ENSRNOG00000055161,0,0,0,0,0,0
ENSRNOG00000055162,0,0,0,0,0,0
ENSRNOG00000055163,0,0,0,0,0,0
ENSRNOG00000055164,0,0,0,0,0,0
ENSRNOG00000055165,0,0,0,0,0,0
ENSRNOG00000055166,9.72,3.13,10.65,90.05,33.33,81.36
ENSRNOG00000055167,0,0,0,0,0,0
ENSRNOG00000055168,0,0,0,0,0,0
ENSRNOG00000055169,0,0,0,1,0,0
ENSRNOG00000055170,0,0,0,0,0,0
ENSRNOG00000055171,0,0,0,0,0,0
ENSRNOG00000055172,0,0,0,0,0,0
ENSRNOG00000055173,0,0,0,0,0,0
ENSRNOG00000055174,0,0,0,0,0,0
ENSRNOG00000055175,0,0,0,0,0,0
ENSRNOG00000055176,0,0,0,0,0,0
ENSRNOG00000055177,0,0,0,0,0,0
ENSRNOG00000055178,31,26,25,194,142,95
ENSRNOG00000055179,105.32,113.45,110.65,470.53,369.24,197.5
ENSRNOG00000055180,0,0,0,0,0,0
ENSRNOG00000055181,0,0,0,0,0,0
ENSRNOG00000055182,0,0,0,0,0,0
ENSRNOG00000055183,0,0,0,0,0,0
ENSRNOG00000055184,0,0,0,0,0,0
ENSRNOG00000055185,1,0,0,0,0,1
ENSRNOG00000055186,0,0,0,0,0,0
ENSRNOG00000055187,0,0,0,0,0,0
ENSRNOG00000055188,0,0,0,0,0,0
ENSRNOG00000055189,0,0,0,0,0,0
ENSRNOG00000055190,0,0,0,0,0,0
ENSRNOG00000055191,0,0,0,0,0,0
ENSRNOG00000055192,0,0,0,1,1,0
ENSRNOG00000055193,1,1,0,7,3.75,0
ENSRNOG00000055194,0,0,0,0,0,0
ENSRNOG00000055195,0,0,0,0,0,0
ENSRNOG00000055196,4,0,0,3.65,7.5,3
ENSRNOG00000055197,9,3,2,48,17,10
ENSRNOG00000055198,0,0,0,0,0,0
ENSRNOG00000055199,0,0,0,0,0,0
ENSRNOG00000055200,0,0,0,0,0,0
ENSRNOG00000055201,0,0,0,0,0,0
ENSRNOG00000055202,0,0,0,0,0,0
ENSRNOG00000055203,0,0,0,0,0,0
ENSRNOG00000055204,0,0,0,1,0,0
ENSRNOG00000055205,0,0,0,0,0,0
ENSRNOG00000055206,0,0,0,0,0,0
ENSRNOG00000055207,0,0,0,0,0,0
ENSRNOG00000055208,0,0,0,0,0,0
ENSRNOG00000055209,0,0,0,0,0,0
ENSRNOG00000055210,0,0,0,0,0,0
ENSRNOG00000055211,0,0,0,0,0,0
ENSRNOG00000055212,0,0,0,0,0,0
ENSRNOG00000055213,0,0,0,0,1,0
ENSRNOG00000055214,0,0,0,0,0,0
ENSRNOG00000055215,0,0,0,0,0,0
ENSRNOG00000055216,0,0,0,0,0,0
ENSRNOG00000055217,0,0,0,0,0,0
ENSRNOG00000055218,0,0,0,0,0,0
ENSRNOG00000055219,0,1,0,0.5,0,1.5
ENSRNOG00000055220,1,1,1,0,0,0
ENSRNOG00000055221,20295.15,19131.48,16437.19,3.56,1.18,1.15
ENSRNOG00000055222,8.65,3.89,3.83,9.57,25.72,12.54
ENSRNOG00000055223,0,0,0,0,0,0
ENSRNOG00000055224,0,0,0,0,0,0
ENSRNOG00000055225,0,0,0,0,0,0
ENSRNOG00000055226,446,442,362,2591,2577,1857
ENSRNOG00000055227,0,0,0,0,0,0
ENSRNOG00000055228,0,0,0,0,0,0
ENSRNOG00000055229,0,0,28.37,100,56.44,9.54
ENSRNOG00000055230,0,0,0,0,0,0
ENSRNOG00000055231,0,0,0,0,0,0
ENSRNOG00000055232,0,0,0,0,0,0
ENSRNOG00000055233,0,0,0,0,0,0
ENSRNOG00000055234,15,18,30,56,50,27
ENSRNOG00000055235,0,0,0,0,0,0
ENSRNOG00000055236,201,181,166,479,403,316
ENSRNOG00000055237,0,0,0,0,0,0
ENSRNOG00000055238,0,0,0,0,0,0
ENSRNOG00000055239,0,0,0,0,0,0
ENSRNOG00000055240,0,0,0,0,0,0
ENSRNOG00000055241,6,9,2,24,21,15
ENSRNOG00000055242,0,0,0,0,0,0
ENSRNOG00000055243,0,0,0,0,0,0
ENSRNOG00000055244,0,0,0,0,0,0
ENSRNOG00000055245,2,0,2,7,9,7
ENSRNOG00000055246,1208,1303,1119,4001,3847,2998
ENSRNOG00000055247,60.29,91.51,98.21,111.09,103.07,88.88
ENSRNOG00000055248,1,0,0,1,2,0
ENSRNOG00000055249,0,0,0,0,0,0
ENSRNOG00000055250,0,0,0,0,0,0
ENSRNOG00000055251,7,15,22,100,94,84
ENSRNOG00000055252,0,0,0,0,0,0
ENSRNOG00000055253,0,0,0,0,0,0
ENSRNOG00000055254,0,0,0,0,0,0
ENSRNOG00000055255,0,0,0,0,0,0
ENSRNOG00000055256,0,0,0,1,1,0
ENSRNOG00000055257,1195,1249,1101,4054,3718,2756
ENSRNOG00000055258,0,0,0,0,0,0
ENSRNOG00000055259,26,26,21,95,117,81
ENSRNOG00000055260,0,0,0,0,0,0
ENSRNOG00000055261,0,0,0,0,0,0
ENSRNOG00000055262,0,0,0,0,0,0
ENSRNOG00000055263,0,0,0,0,0,0
ENSRNOG00000055264,0,0,0,0.24,0,0
ENSRNOG00000055265,0,0,0,0,0,0
ENSRNOG00000055266,0,0,0,0,0,0
ENSRNOG00000055267,0,0,0,0,0,0
ENSRNOG00000055268,0,0,0,0,0,0
ENSRNOG00000055269,0,0,0,0,0,0
ENSRNOG00000055270,0,0,0,0,0,0
ENSRNOG00000055271,3,0,1,1,1,1
ENSRNOG00000055272,0,0,0,0,1,1
ENSRNOG00000055273,0,0,0,0,0,0
ENSRNOG00000055274,0,0,0,0,0,0
ENSRNOG00000055275,0,0,0,0,0,0
ENSRNOG00000055276,0,0,0,0,0,0
ENSRNOG00000055277,271.64,306.58,266.94,958.57,807.38,633
ENSRNOG00000055278,4.68,3,6,8,3.51,8
ENSRNOG00000055279,0,0,0,0,0,0
ENSRNOG00000055280,0,0,0,0,0,0
ENSRNOG00000055281,10,9,19,40,47,42
ENSRNOG00000055282,0,0,0,0,0,0
ENSRNOG00000055283,0,0,0,0,0,0
ENSRNOG00000055284,0,0,0,0,0,0
ENSRNOG00000055285,0,0,0,0,0,0
ENSRNOG00000055286,14.43,27.8,60.83,46.83,62.18,73.95
ENSRNOG00000055287,0,0,0,0,0,0
ENSRNOG00000055288,0,0,0,0,0,0
ENSRNOG00000055289,0,0,0,0,0,0
ENSRNOG00000055290,0,0,0,0,0,0
ENSRNOG00000055291,0,0,0,0,0,0
ENSRNOG00000055292,92.29,124.22,101.24,354.59,208.68,176.63
ENSRNOG00000055293,244,446,407,1600,1285,1280
ENSRNOG00000055294,0,0,0,0,0,0
ENSRNOG00000055295,3224,3520,2818,9590,10895,8006
ENSRNOG00000055296,0,0,0,0,0,0
ENSRNOG00000055297,1,2,1,16,6,4
ENSRNOG00000055298,0,0,0,0,0,0
ENSRNOG00000055299,0,0,0,0,0,0
ENSRNOG00000055300,108,92,82,426,342,260
ENSRNOG00000055301,0,0,0,0,0,0
ENSRNOG00000055302,12.24,22.57,11.26,42.29,40.7,18.6
ENSRNOG00000055303,0,0,0,0,0,0
ENSRNOG00000055304,0,0,0,0,0,0
ENSRNOG00000055305,684,877,636,584,543,506
ENSRNOG00000055306,0,0,0,0,1,0
ENSRNOG00000055307,92,107,100,330,316,188
ENSRNOG00000055308,0,0,0,0,0,0
ENSRNOG00000055309,94,83,93,267,289,209
ENSRNOG00000055310,0,0,0,0,0,0
ENSRNOG00000055311,0,0,0,0,0,0
ENSRNOG00000055312,0,0,0,0,0,0
ENSRNOG00000055313,0,0,0,0,0,0
ENSRNOG00000055314,653,699,608,1743,1688,1282
ENSRNOG00000055315,0,0,0,0,0,0
ENSRNOG00000055316,0,0,0,0,0,0
ENSRNOG00000055317,38.97,39.9,37.68,111.42,110.35,96.39
ENSRNOG00000055318,0.51,0,0,0,0,0
ENSRNOG00000055319,1765.24,1657.89,1408,4875.13,3744.55,3019
ENSRNOG00000055320,16,7,0,7,5,2
ENSRNOG00000055321,0,0,0,0,0,0
ENSRNOG00000055322,0,0,0,0,0,0
ENSRNOG00000055323,0,0,0,0.25,0,0.25
ENSRNOG00000055324,0,0,0,0,0,0
ENSRNOG00000055325,0,0,0,0,0,0
ENSRNOG00000055326,0,0,0,0,0,0
ENSRNOG00000055327,0,0,0,0,0,0
ENSRNOG00000055328,0,0,0,0,0,0
ENSRNOG00000055329,0,0,0,0,0,0
ENSRNOG00000055330,13.59,21.34,20.4,56.25,35.48,37.08
ENSRNOG00000055331,195,157,172,493,405,325
ENSRNOG00000055332,0,0,0,0,0,0
ENSRNOG00000055333,0,0,0,0,0,0
ENSRNOG00000055334,0,0,0,0,0,0
ENSRNOG00000055335,0,0,0,0,0,0
ENSRNOG00000055336,0,0,0,0,0,0
ENSRNOG00000055337,0,0,0,0,0,0
ENSRNOG00000055338,0,0,0,0,0,0
ENSRNOG00000055339,0,0,0,0,0,0
ENSRNOG00000055340,196,159,176,1013,637,598
ENSRNOG00000055341,0,0,0,0,0,0
ENSRNOG00000055342,0,0,0,0,0,0
ENSRNOG00000055343,0,0,0,0,0,0
ENSRNOG00000055344,125,127,89,292,278,224
ENSRNOG00000055345,0,0,0,0,0,0
ENSRNOG00000055346,0,0,0,0,0,0
ENSRNOG00000055347,0,0,0,0,0,0
ENSRNOG00000055348,0,0,0,0,0,0
ENSRNOG00000055349,0,0,0,0,0,0
ENSRNOG00000055350,0,0,0,0,0,0
ENSRNOG00000055351,0,0,0,0,0,0
ENSRNOG00000055352,0,0,0,0,0,0
ENSRNOG00000055353,0,0,0,0,0,0
ENSRNOG00000055354,0,0,0,0,0,0
ENSRNOG00000055355,0,0,0,0,0,0
ENSRNOG00000055356,0,0,0,0,0,0
ENSRNOG00000055357,0,0,0,0,0,0
ENSRNOG00000055358,0,0,0,0,0,0
ENSRNOG00000055359,0,0,0,0,0,0
ENSRNOG00000055360,0,0,0,0,0,0
ENSRNOG00000055361,0,0,0,0,0,0
ENSRNOG00000055362,0,0,0,0,0,0
ENSRNOG00000055363,0,0,0,0,0,0
ENSRNOG00000055364,0,2,1,0,5,2
ENSRNOG00000055365,2975,3390,3109,11950,10464,6843
ENSRNOG00000055366,0,0,0,0,0,0
ENSRNOG00000055367,0.5,0,0,5.5,3,3.5
ENSRNOG00000055368,0,0,0,0,0,0
ENSRNOG00000055369,0,0,0,0,0,0
ENSRNOG00000055370,0,0,0,0,0,0
ENSRNOG00000055371,2,6,2,8,8,7
ENSRNOG00000055372,2.52,3.41,0,7.5,5.61,12.62
ENSRNOG00000055373,0,0,0,0,0,0
ENSRNOG00000055374,0,0,0,0,0,0
ENSRNOG00000055375,0,0,0,2,2,0
ENSRNOG00000055376,0,1,0,0,1,0
ENSRNOG00000055377,0,0,0,0,0,0
ENSRNOG00000055378,0,0,0,0,0,0
ENSRNOG00000055379,0,0,0,0,0,0
ENSRNOG00000055380,0,0,0,0,0,0
ENSRNOG00000055381,0,0,0,0,0,0
ENSRNOG00000055382,0,0,0,0,0,0
ENSRNOG00000055383,7,1,1,13,6,5
ENSRNOG00000055384,0,0,0,0,0,0
ENSRNOG00000055385,0,0,0,0,0,0
ENSRNOG00000055386,0,0,0,0,0,0
ENSRNOG00000055387,0,0,0,0,0,0
ENSRNOG00000055388,0,0,0,0,0,0
ENSRNOG00000055389,0,0,0,0,0,0
ENSRNOG00000055390,0,0,0,1,0,0
ENSRNOG00000055391,945,963,904,3012,2329,1775
ENSRNOG00000055392,0,0,0,0,0,0
ENSRNOG00000055393,0,0,0,1,1,0
ENSRNOG00000055394,0,0,0,0,0,0
ENSRNOG00000055395,0,0,0,0,0,0
ENSRNOG00000055396,0,0,0,0,0,0
ENSRNOG00000055397,0,0,0,0,0,0
ENSRNOG00000055398,0,0,0,0,0,0
ENSRNOG00000055399,0,0,0,0,0,0
ENSRNOG00000055400,0,0,0,0,0,0
ENSRNOG00000055401,0,0,0,0,0,0
ENSRNOG00000055402,0,0,0,0,0,2
ENSRNOG00000055403,0,0,0,0,0,0
ENSRNOG00000055404,0,0,0,0,0,0
ENSRNOG00000055405,0,0,0,0,0,0
ENSRNOG00000055406,2.97,2.85,0.58,6.58,4.05,3.35
ENSRNOG00000055407,0,0,0,0,0,0
ENSRNOG00000055408,217,252,208,1334,1489,1141
ENSRNOG00000055409,0,0,0,0,0,0
ENSRNOG00000055410,0,0,0,0,0,0
ENSRNOG00000055411,0,0,0,0,0,0
ENSRNOG00000055412,0,0,0,0,0,0
ENSRNOG00000055413,0,0,0,0,0,0
ENSRNOG00000055414,0,0,0,0,0,0
ENSRNOG00000055415,0,0,0,0,0,0
ENSRNOG00000055416,0,0,0,0,0,0
ENSRNOG00000055417,0,0,0,0,0,0
ENSRNOG00000055418,0,0.17,0,0.19,0,0
ENSRNOG00000055419,0,0,0,0,0,0
ENSRNOG00000055420,0,0,0,0,0,0
ENSRNOG00000055421,0,0,0,0,0,0
ENSRNOG00000055422,0,0,0,0,0,0
ENSRNOG00000055423,0,0,0,0,0,0
ENSRNOG00000055424,0,0,0,1,0,0
ENSRNOG00000055425,0,0,0,0,0,0
ENSRNOG00000055426,0,0,0,5,7,3
ENSRNOG00000055427,0,0,0,0,0,0
ENSRNOG00000055428,0,0,0,4,3,0
ENSRNOG00000055429,0,0,0,0,0,0
ENSRNOG00000055430,0,0,0,0,0,0
ENSRNOG00000055431,0,0,0,0,0,0
ENSRNOG00000055432,0,0,0,0,0,0
ENSRNOG00000055433,1,0,1,7,5,4
ENSRNOG00000055434,0,0,0,0,0,0
ENSRNOG00000055435,0,0,0,0,0,0
ENSRNOG00000055436,0,0,0,0,0,0
ENSRNOG00000055437,0,0,0,0,0,0
ENSRNOG00000055438,0,0,0,0,0,0
ENSRNOG00000055439,66.96,49.18,42,208.54,210.52,127.08
ENSRNOG00000055440,0,0,0,0,0,0
ENSRNOG00000055441,0,0,0,0,0,0
ENSRNOG00000055442,0,0,0,0,0,0
ENSRNOG00000055443,0,0,0,0,0,0
ENSRNOG00000055444,0,0,0,0,0,0
ENSRNOG00000055445,0,0,0,0,0,0
ENSRNOG00000055446,1850,1869,1933,7413,6578,4878
ENSRNOG00000055447,0,0,0,0,0,0
ENSRNOG00000055448,0,0,0,0,0,0
ENSRNOG00000055449,0,0,0,0,0,0
ENSRNOG00000055450,0,0,0,0,0,0
